name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,label
Boise,8/1/21,27.2,20.6,23.3,28.2,20.6,23.5,18.9,77.7,11.74,100,41.67,rain,0,0,,16.4,114.9,1018,62.7,15.2,137.9,11.9,8,,2021-08-01T06:34:26,2021-08-01T21:07:05,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KBOI,KEUL,72681524106,BOII,TS587,72681394195,72681024131,KMUO",1
Boise,8/2/21,33.4,20.6,26.6,32.1,20.6,26.3,16.4,58.7,0,0,0,,0,0,37.1,27.6,158.1,1018.3,2.3,14.9,301.7,26,9,,2021-08-02T06:35:30,2021-08-02T21:05:52,0.84,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO",0
Boise,8/3/21,35,20.6,27.7,33.3,20.6,27.1,12.8,43.1,0.02,100,4.17,rain,0,0,60.8,25.8,124,1016.6,2.5,15.5,270.7,23.4,9,,2021-08-03T06:36:35,2021-08-03T21:04:36,0.89,Rain,Clear conditions throughout the day with early morning rain.,rain,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO",1
Boise,8/4/21,39.9,19.9,29.7,37.3,19.9,28.6,8.9,30.8,0,0,0,,0,0,46.4,22.1,148.1,1012,2.2,16,280.2,24.1,9,,2021-08-04T06:37:40,2021-08-04T21:03:19,0.93,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,72681524106,BOII,TS587,72681394195,72681024131,KMUO",0
Boise,8/5/21,35.6,22.8,29.4,33.4,22.8,28.3,9,29.3,0,0,0,,0,0,48,28.9,222.5,1007,3.6,16,233.8,20.3,9,,2021-08-05T06:38:46,2021-08-05T21:02:01,0.96,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO",0
Boise,8/6/21,27.2,20,23.4,26.6,20,23.3,9.3,41.7,0,0,0,,0,0,48.1,27.4,274.9,1011.8,9.6,16,214.8,18.6,7,,2021-08-06T06:39:52,2021-08-06T21:00:41,0.98,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,72681524106,BOII,TS587,72681394195,72681024131,KMUO",0
Boise,8/7/21,34.3,17.1,25.6,32,17.1,24.7,8.5,38.8,0,0,0,,0,0,,17.9,136.8,1011.5,0,16,309.6,26.8,9,,2021-08-07T06:40:57,2021-08-07T20:59:20,1,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO",0
Boise,8/8/21,29.4,18.3,24.9,27.9,18.3,24.6,6.8,33.3,0,0,0,,0,0,51.6,38.6,269.3,1007.4,1.2,16,262.1,22.5,9,,2021-08-08T06:42:04,2021-08-08T20:57:57,1,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,72681524106,BOII,TS587,LLAI1,72681394195,72681024131,KMUO",0
Boise,8/9/21,27.9,11.7,20.3,26.6,11.7,20.1,2.2,32.6,0,0,0,,0,0,31.7,27.7,279,1015.4,0,16,316.4,27.4,9,,2021-08-09T06:43:10,2021-08-09T20:56:34,0,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,72681524106,BOII,TS587,72681394195,72681024131,KMUO",0
Boise,8/10/21,33.8,14.2,24.1,31.3,14.2,23.2,2,28.2,0,0,0,,0,0,,18.3,217.3,1015.2,0,16,301.1,26.1,9,,2021-08-10T06:44:16,2021-08-10T20:55:08,0.02,Clear,Clear conditions throughout the day.,clear-day,"KBOI,KEUL,72681524106,TS587,LLAI1,72681394195,72681024131,KMUO",0
